City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
255,salalah,17.0151,54.0924,29.05,84,75,3.6,OM,1693304049
256,posto fiscal rolim de moura,-13.0833,-62.2667,22.79,68,0,0.63,BR,1693304049
257,childress,34.4264,-100.204,22.14,53,0,2.06,US,1693304050
258,kalabo,-14.97,22.6814,28.1,22,64,5.46,ZM,1693304050
259,sur,22.5667,59.5289,34.64,49,95,1.78,OM,1693304051
260,touros,-5.1989,-35.4608,25.36,83,13,3.78,BR,1693304052
261,sorong,-0.8833,131.25,26.45,85,79,6.54,ID,1693304052
262,dunedin,-45.8742,170.5036,10.45,79,98,1.79,NZ,1693304052
263,chillicothe,39.3331,-82.9824,14.58,97,0,0.0,US,1693304053
264,iskateley,67.6803,53.1512,12.28,63,97,2.08,RU,1693304054
265,xai-xai,-25.0519,33.6442,22.61,53,87,4.24,MZ,1693304008
266,makarov,48.6333,142.8,15.59,85,74,2.13,RU,1693304055
267,krasnyy kut,50.95,46.9667,20.78,34,2,7.6,RU,1693304055
268,vila franca do campo,37.7167,-25.4333,22.23,76,43,3.27,PT,1693304056
269,tsiombe,-25.3,45.4833,22.81,49,47,8.3,MG,1693304057
270,jiayuguan,39.8167,98.3,29.42,14,9,13.73,CN,1693303950
271,namsos,64.4662,11.4957,15.03,77,75,1.54,NO,1693304059
272,itacarambi,-15.1022,-44.0919,21.74,88,57,2.29,BR,1693304060
273,santa elena de uairen,4.6167,-61.1333,20.24,82,64,1.36,VE,1693304061
274,rajgarh,28.6333,75.3833,37.96,28,0,3.17,IN,1693304001
275,coracao de jesus,-16.6853,-44.365,18.99,93,89,3.47,BR,1693304062
276,santa cruz,-17.8,-63.1667,16.7,77,20,1.03,BO,1693303882
277,mahibadhoo,3.7833,72.9667,26.11,76,100,8.87,MV,1693304063
278,pedernales,18.0384,-71.744,27.66,73,26,1.73,DO,1693304063
279,monghyr,25.3833,86.4667,35.42,42,100,3.9,IN,1693303920
280,pazaryolu,40.4208,40.771,23.81,41,96,2.48,TR,1693304064
281,as sulayyil,20.4607,45.5779,45.14,9,100,2.59,SA,1693304065
282,fallon,39.4735,-118.7774,21.62,52,0,3.6,US,1693304065
283,muborak,39.2553,65.1528,32.98,10,2,3.57,UZ,1693304066
284,constitucion,-35.3333,-72.4167,8.95,89,1,3.44,CL,1693304066
285,remire-montjoly,4.9167,-52.2667,24.02,100,20,0.0,GF,1693304040
286,ketchikan,55.3422,-131.6461,17.26,82,100,5.14,US,1693304067
287,kavaratti,10.5669,72.642,27.53,80,84,6.32,IN,1693304068
288,portland,45.5234,-122.6762,18.45,76,100,3.09,US,1693304068
289,selfoss,63.9331,-20.9971,12.8,68,6,1.85,IS,1693304069
290,ponta delgada,37.7333,-25.6667,22.4,83,75,3.09,PT,1693304056
291,sunne,59.8376,13.143,17.18,56,19,3.52,SE,1693304070
292,kurchatov,51.6601,35.6521,23.87,47,92,2.64,RU,1693304070
293,borgarnes,64.5383,-21.9206,12.12,72,10,1.96,IS,1693304071
294,la malbaie,47.6575,-70.1559,14.47,81,35,1.82,CA,1693304071
295,luderitz,-26.6481,15.1594,25.6,37,0,5.79,NA,1693304072
296,kampene,-3.6,26.6667,35.48,21,12,1.82,CD,1693304072
297,happy valley-goose bay,53.3168,-60.3315,13.17,82,75,2.06,CA,1693304073
298,kloulklubed,7.0419,134.2556,28.28,84,71,4.9,PW,1693304073
299,nemuro,43.3236,145.575,16.01,90,41,4.6,JP,1693304074
300,mont-dore,-22.2833,166.5833,19.99,89,54,3.86,NC,1693304074
301,loreto,22.2667,-101.9667,16.18,66,99,1.5,MX,1693304052
302,nuuk,64.1835,-51.7216,9.34,87,75,12.35,GL,1693303861
303,ambalangoda,6.2355,80.0538,27.98,77,100,4.64,LK,1693303963
304,lima,-12.0432,-77.0282,19.14,82,100,3.09,PE,1693304076
305,margate,51.3813,1.3862,17.61,62,7,1.79,GB,1693303960
306,kerikeri,-35.2268,173.9474,8.28,88,58,1.09,NZ,1693303899
307,damghan,36.1683,54.348,34.25,16,0,2.06,IR,1693304078
308,worb,46.9298,7.5631,14.77,80,75,1.03,CH,1693304078
309,midleton,51.9153,-8.1805,15.88,74,65,7.05,IE,1693304078
310,papao,-17.75,-149.55,24.82,91,93,9.24,PF,1693304079
311,kotlas,61.2611,46.6556,16.92,49,11,0.77,RU,1693304079
312,kirakira,-10.4544,161.9205,24.83,84,100,3.4,SB,1693304080
313,ujae,8.9322,165.7642,28.82,79,56,5.88,MH,1693304080
314,levashi,42.4304,47.3215,20.06,58,78,3.85,RU,1693304081
315,kristinestad,62.2743,21.376,18.94,73,17,4.12,FI,1693304081
316,floro,61.5996,5.0328,15.54,72,40,5.14,NO,1693304082
317,lake saint louis,38.7976,-90.7857,18.39,93,0,0.0,US,1693304082
318,valparaiso,-33.0393,-71.6273,11.81,73,0,4.16,CL,1693304083
319,gaiman,-43.2897,-65.4929,6.2,55,3,2.34,AR,1693304083
320,mersing,2.4312,103.8405,25.95,100,40,0.0,MY,1693304084
